Teams,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Chennai Super Kings,680,712,698.5,685,724.5,843,763,754.5,0,0,791,764
Kolkata Knight Riders,514.5,484,562.5,690.5,774.5,720,742,627,559,691,895.5,756
Kings XI Punjab,727,634.5,603,693,664,632,693,572.5,364,618.5,700,657
Royal Challengers Bangalore,517.5,681.5,822,855.5,771,853.5,601,678,959,464,653.5,560.5
Sunrisers Hyderabad,0,0,0,0,0,850.5,632,657,825.5,688,794,694.5
Delhi Capitals,631,358,539.5,632.5,726.5,584,458,590,581,531,676.5,677
Mumbai Indians,724,611.5,699.5,748.5,698.5,912.5,540,701.5,566,592.5,737.5,830
Rajasthan Royals,917,601.5,577.5,593.5,631,873.5,523.5,603.5,0,0,609.5,568
Gujarat Lions,0,0,0,0,0,0,0,0,630.5,481,0,0
Rising Pune Supergiants,0,0,0,0,0,0,0,0,486.5,675,0,0
Deccan Chargers,598,751,748.5,614,638.5,0,0,0,0,0,0,0
Kochi Tuskers Kerala,0,0,0,576,0,0,0,0,0,0,0,0
Pune Warriors,0,0,0,623,429,604,0,0,0,0,0,0
