Win ratio (Team A),Win ratio (Team B)
0.61,0.39
0.41,0.59
0.57,0.43
0.33,0.67
0.24,0.76
0.5,0.5
0.67,0.33
0.59,0.41
0.43,0.47
0.36,0.64
0.33,0.67
0.5,0.5
0.46,0.54
0.75,0.25
0.44,0.56
0.38,0.62
0.5,0.5
0.57,0.43
0.7,0.3
0.5,0.5
0.35,0.65
0.71,0.29
0.61,0.39
0.32,0.68
0.65,0.35
0.55,0.45
0.5,0.5
0.42,0.58
0.25,0.75
0.39,0.61
0.5,0.5
0.76,0.24
0.56,0.44
0.33,0.67
0.41,0.59
0.54,0.46
0.67,0.33
0.59,0.41
0.58,0.42
0.45,0.55
0.39,0.61
0.62,0.38
0.29,0.71
0.35,0.65
0.5,0.5
0.68,0.32
0.67,0.33
0.64,0.36
0.65,0.35
0.47,0.43
0.5,0.5
0.43,0.57
0.43,0.57
0.5,0.5
0.3,0.7
0.5,0.5
